Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Ramón Gómez de la Serna,Colegio Público,Calle Godella 170,Embajadores 191,Calle Sodio 1B
Colegio Público Ramón María del Valle Inclán,Colegio Público,Calle Alconera 1,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Ramón Pérez de Ayala,Colegio Público,Calle Motilla Del Palancar 19,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Real Armada,Colegio Público,Calle Corregidor Juan Francisco De Lujan 114,Marroquina,Calle Camino de los Vinateros 108
Colegio Público Regimiento Inmemorial del Rey,Colegio Público,Avenida Moratalaz 51,Camino Vinateros,Calle Camino de los Vinateros 28
Colegio Público Reina Victoria,Colegio Público,Calle Principe De Vergara 61,Diego de León 52,Calle Diego de León 52
Colegio Público República Dominicana,Colegio Público,Ronda Don Bosco 2,Caramuel,Calle Caramuel 51
Colegio Público República de Brasil,Colegio Público,Avenida Fueros 34,Embajadores 191,Calle Sodio 1B
Colegio Público República de Chile,Colegio Público,Calle Castillo De Ucles 28,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público República de Colombia,Colegio Público,Plaza Alloz 3,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público República de Ecuador,Colegio Público,Calle Valle De Oro 41,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público República de El Salvador,Colegio Público,Calle Sacedon 2,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público República de Panamá Nº 1,Colegio Público,Calle Peones 2,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público República de Paraguay,Colegio Público,Calle Manresa 60,Pedro Rico,Calle Pedro Rico 4
Colegio Público República de Uruguay,Colegio Público,Avenida Nuestra Señora De Valvanera 120,Caramuel,Calle Caramuel 51
Colegio Público República de Venezuela,Colegio Público,Calle Cerecinos 8,San Delfín,Calle San Delfín 9
Colegio Público Rosa Luxemburgo,Colegio Público,Calle Bardegueral 16,Facultad Derecho,Avenida Complutense 23
Colegio Público Rufino Blanco,Colegio Público,Calle General Alvarez De Castro 46,Canal,Calle José Abascal frente al 2
Colegio Público Sagunto,Colegio Público,Calle Paterna 14,Embajadores 191,Calle Sodio 1B
Colegio Público San Benito,Colegio Público,Calle Juan Perez Zuñiga 36,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público San Carlos,Colegio Público,Calle Villastar 8,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público San Cristóbal,Colegio Público,Calle Bravo Murillo 41,Canal,Calle José Abascal frente al 2
Colegio Público San Eugenio y San Isidro,Colegio Público,Calle Peñuelas 31,Paseo de la Esperanza,Paseo de la Esperanza 21
Colegio Público San Ignacio de Loyola,Colegio Público,Avenida Abrantes 1,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público San Ildefonso,Colegio Público,Calle Alfonso Vi 1,Segovia 26,Calle Segovia 26
Colegio Público San Isidoro,Colegio Público,Calle Fuenterrabia 15,Puerta de Granada,Avenida de Menéndez Pelayo 38
Colegio Público San Juan Bautista,Colegio Público,Calle Sorzano 1,Condesa de Venadito,Calle Condesa de Venadito 2
Colegio Público San Juan Bosco,Colegio Público,Calle Santa Irene 2,Marqués de Corbera 12,Avenida Marqués de Corbera 12
Colegio Público San Juan de la Cruz,Colegio Público,Calle Honduras 10,Pío XII,Avenida Pío XII 3
Colegio Público San Miguel,Colegio Público,Avenida Virgen Del Carmen 32,Pío XII,Avenida Pío XII 3
Colegio Público San Pablo,Colegio Público,Plaza Peña Morraz 1,Sierra Toledana,Camino de Valderribas 94
Colegio Público San Roque,Colegio Público,Calle Oxigeno 43,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Santa María,Colegio Público,Calle Casino 7,Ribera de Curtidores,Calle Ribera de Curtidores 28
